"t","n","value"
16,"nde",0.0134312992509213
16,"nld",0.000203384816998672
16,"noan",-0.000182373810271981
16,"noap",-0.000545572527113906
16,"nor",-0.00355122176102227
16,"oeu",-0.00672809418840771
16,"osea",0.02882112364481
16,"pol",-0.0104498676384286
16,"prt",0.000211367399447685
16,"rcam",0.0134131191377283
16,"rcz",-0.00152877435433825
16,"rfa",-0.0034768727832174
16,"ris",-0.00401230818363148
16,"rjan57",0.00710309258950084
16,"rom",-0.0107235547622998
16,"rsaf",0.218629772429309
16,"rsam",0.0757308092010965
16,"rsas",0.0105245330374184
16,"rsl",-0.000981638522558131
16,"rus",-0.0174819224478155
16,"slo",-0.00118277038871748
16,"sui",-0.000389181256422156
16,"swe",-0.000618422204537774
