"","V1","n","V3","value"
"485","COACCH_NoSLR","rsam","p025",-2.650025
"486","COACCH_NoSLR","rsam","p05",-2.17407
"487","COACCH_NoSLR","rsam","p16",-0.172902
"488","COACCH_NoSLR","rsam","p25",0.218805
"489","COACCH_NoSLR","rsam","p33",0.511407
"490","COACCH_NoSLR","rsam","p50",1
"491","COACCH_NoSLR","rsam","p67",1.21305
"492","COACCH_NoSLR","rsam","p75",1.38975
"493","COACCH_NoSLR","rsam","p84",1.806769
"494","COACCH_NoSLR","rsam","p95",2.150311
"495","COACCH_NoSLR","rsam","p975",2.262216
"496","COACCH_NoSLR","rsas","p025",0.043018
"497","COACCH_NoSLR","rsas","p05",0.12536
"498","COACCH_NoSLR","rsas","p16",0.486191
"499","COACCH_NoSLR","rsas","p25",0.613289
"500","COACCH_NoSLR","rsas","p33",0.743565
"501","COACCH_NoSLR","rsas","p50",1
"502","COACCH_NoSLR","rsas","p67",1.188433
"503","COACCH_NoSLR","rsas","p75",1.263101
"504","COACCH_NoSLR","rsas","p84",1.389064
"505","COACCH_NoSLR","rsas","p95",1.686018
"506","COACCH_NoSLR","rsas","p975",1.789614
"507","COACCH_NoSLR","rsl","p025",0.197078
"508","COACCH_NoSLR","rsl","p05",0.313185
"509","COACCH_NoSLR","rsl","p16",0.591004
"510","COACCH_NoSLR","rsl","p25",0.734032
"511","COACCH_NoSLR","rsl","p33",0.812784
"512","COACCH_NoSLR","rsl","p50",1.000001
"513","COACCH_NoSLR","rsl","p67",1.282261
"514","COACCH_NoSLR","rsl","p75",1.405976
"515","COACCH_NoSLR","rsl","p84",1.593983
"516","COACCH_NoSLR","rsl","p95",2.435398
"517","COACCH_NoSLR","rsl","p975",2.643728
"518","COACCH_NoSLR","rus","p025",0.052205
"519","COACCH_NoSLR","rus","p05",0.106302
"520","COACCH_NoSLR","rus","p16",0.365091
"521","COACCH_NoSLR","rus","p25",0.567338
"522","COACCH_NoSLR","rus","p33",0.678556
"523","COACCH_NoSLR","rus","p50",1
"524","COACCH_NoSLR","rus","p67",1.311508
"525","COACCH_NoSLR","rus","p75",1.544712
"526","COACCH_NoSLR","rus","p84",1.739935
"527","COACCH_NoSLR","rus","p95",2.174356
"528","COACCH_NoSLR","rus","p975",2.292899
"529","COACCH_NoSLR","slo","p025",0.197078
"530","COACCH_NoSLR","slo","p05",0.313185
"531","COACCH_NoSLR","slo","p16",0.591004
"532","COACCH_NoSLR","slo","p25",0.734032
"533","COACCH_NoSLR","slo","p33",0.812784
"534","COACCH_NoSLR","slo","p50",1.000001
"535","COACCH_NoSLR","slo","p67",1.282261
"536","COACCH_NoSLR","slo","p75",1.405976
"537","COACCH_NoSLR","slo","p84",1.593983
"538","COACCH_NoSLR","slo","p95",2.435398
"539","COACCH_NoSLR","slo","p975",2.643728
"540","COACCH_NoSLR","sui","p025",0.197078
"541","COACCH_NoSLR","sui","p05",0.313185
"542","COACCH_NoSLR","sui","p16",0.591004
"543","COACCH_NoSLR","sui","p25",0.734032
"544","COACCH_NoSLR","sui","p33",0.812784
"545","COACCH_NoSLR","sui","p50",1.000001
"546","COACCH_NoSLR","sui","p67",1.282261
"547","COACCH_NoSLR","sui","p75",1.405976
"548","COACCH_NoSLR","sui","p84",1.593983
